"id","model_id","model_type","collection_name","name","file_name","mime_type","disk","size","manipulations","custom_properties","order_column","created_at","updated_at"
"3","18","App\\User","avatars","huang","huang.gif","image/gif","ceph-avatar","14773","[]","[]","1","2018-10-19 06:09:49","2018-10-19 06:09:49"
"4","2113","App\\UserSubtaskSubmission","submissions","arch","arch.png","image/png","ceph-submission","87513","[]","[]","2","2018-10-19 11:17:30","2018-10-19 11:17:30"
"5","2114","App\\UserSubtaskSubmission","submissions","fig22","fig22.png","image/png","ceph-submission","6895","[]","[]","3","2018-10-19 11:17:51","2018-10-19 11:17:51"
"6","2115","App\\UserSubtaskSubmission","submissions","fig3","fig3.png","image/png","ceph-submission","254048","[]","[]","4","2018-10-19 11:18:01","2018-10-19 11:18:01"
"7","2116","App\\UserSubtaskSubmission","submissions","arch","arch.png","image/png","ceph-submission","87513","[]","[]","5","2018-10-19 11:51:08","2018-10-19 11:51:08"
"8","2117","App\\UserSubtaskSubmission","submissions","fig22","fig22.png","image/png","ceph-submission","6895","[]","[]","6","2018-10-19 11:51:27","2018-10-19 11:51:27"
"9","2121","App\\UserSubtaskSubmission","submissions","icc","icc.pdf","application/pdf","ceph-submission","1176707","[]","[]","7","2018-10-19 14:45:05","2018-10-19 14:45:05"
"10","2122","App\\UserSubtaskSubmission","submissions","icc","icc.pdf","application/pdf","ceph-submission","1176707","[]","[]","8","2018-10-19 14:48:07","2018-10-19 14:48:07"
"11","2124","App\\UserSubtaskSubmission","submissions","LearningStyles","LearningStyles.ppt","application/vnd.ms-powerpoint","ceph-submission","847872","[]","[]","9","2018-10-19 14:52:14","2018-10-19 14:52:14"
"12","2125","App\\UserSubtaskSubmission","submissions","IEEEtran","IEEEtran.cls","text/x-tex","ceph-submission","281957","[]","[]","10","2018-10-19 14:52:32","2018-10-19 14:52:32"
"13","2128","App\\UserSubtaskSubmission","submissions","ASP level8","ASP level8.pdf","application/pdf","ceph-submission","1502860","[]","[]","11","2018-10-19 15:09:55","2018-10-19 15:09:55"
"14","2129","App\\UserSubtaskSubmission","submissions","ASP level8","ASP level8.pdf","application/pdf","ceph-submission","1502860","[]","[]","12","2018-10-19 15:12:29","2018-10-19 15:12:29"
"15","2130","App\\UserSubtaskSubmission","submissions","fig3","fig3.png","image/png","ceph-submission","254048","[]","[]","13","2018-10-19 15:42:14","2018-10-19 15:42:14"
"16","2131","App\\UserSubtaskSubmission","submissions","icc","icc.pdf","application/pdf","ceph-submission","1176707","[]","[]","14","2018-10-19 15:58:29","2018-10-19 15:58:29"
"17","5","App\\User","avatars","fig22","fig22.png","image/png","ceph-avatar","6895","[]","[]","15","2018-10-19 23:45:28","2018-10-19 23:45:28"
"18","2133","App\\UserSubtaskSubmission","submissions","scriptP2T3","scriptP2T3","text/x-python","ceph-submission","266","[]","[]","16","2018-10-21 02:25:34","2018-10-21 02:25:34"
"19","2134","App\\UserSubtaskSubmission","submissions","readme","readme.txt","text/plain","ceph-submission","200","[]","[]","17","2018-10-21 02:25:54","2018-10-21 02:25:54"
"20","2164","App\\UserSubtaskSubmission","submissions","task3","task3.sh","text/plain","ceph-submission","607","[]","[]","18","2018-10-22 06:51:49","2018-10-22 06:51:49"
"21","2166","App\\UserSubtaskSubmission","submissions","ReadMe","ReadMe.txt","text/plain","ceph-submission","1430","[]","[]","19","2018-10-22 07:07:11","2018-10-22 07:07:11"
