"id","user_id","task_id","finished","time_spent","update_time","grade","feedback"
"2","4805","101","0","NULL","2018-09-26 12:13:14","50",""
"4","4763","101","1","NULL","2018-09-26 16:06:02","50",""
"5","4827","101","1","NULL","2018-09-26 19:04:27","50",""
"6","2964","101","1","NULL","2018-09-26 19:32:49","50",""
"7","4262","101","1","NULL","2018-09-26 23:58:23","50",""
"8","4784","101","1","NULL","2018-09-27 14:41:26","50",""
"9","4782","101","1","NULL","2018-09-27 17:29:48","50",""
"10","4786","101","1","NULL","2018-09-27 18:02:47","50",""
"11","4785","101","1","NULL","2018-09-27 18:03:08","50",""
"12","4837","101","1","NULL","2018-09-27 20:52:11","50",""
"13","4823","101","1","NULL","2018-09-28 00:05:53","50",""
"14","4794","101","1","NULL","2018-09-28 00:31:02","50",""
"15","4807","101","1","NULL","2018-09-28 00:39:15","45",""
"16","4803","101","1","NULL","2018-09-28 00:43:51","50",""
"17","4808","101","1","NULL","2018-09-28 01:45:13","50",""
"18","4836","101","1","NULL","2018-09-28 03:08:47","50",""
"19","4814","101","1","NULL","2018-09-28 11:13:57","50",""
"20","3856","101","1","NULL","2018-09-28 14:31:09","50",""
"21","4822","101","1","NULL","2018-09-28 15:21:30","50",""
"22","4695","101","1","NULL","2018-09-28 15:39:56","50",""
"23","4788","101","1","NULL","2018-09-28 23:16:14","45",""
"24","4824","101","1","NULL","2018-09-28 23:20:37","45",""
"25","4798","101","1","NULL","2018-09-28 23:21:15","50",""
"26","4840","101","1","NULL","2018-09-28 23:27:04","50",""
"27","4801","101","1","NULL","2018-09-28 23:35:08","50",""
"28","4812","101","1","NULL","2018-09-28 23:43:14","50",""
"29","4764","101","1","NULL","2018-09-28 23:45:45","50",""
"30","4828","101","1","NULL","2018-09-28 23:46:48","35",""
"31","4783","101","1","NULL","2018-09-28 23:53:38","50",""
"32","4802","101","1","NULL","2018-09-28 23:55:41","50",""
"33","4818","101","1","NULL","2018-09-28 23:58:11","45",""
"34","4800","101","1","NULL","2018-09-28 23:58:39","45",""
"35","4843","101","1","NULL","2018-09-28 23:58:52","50",""
"36","4825","101","1","NULL","2018-09-28 23:59:17","50",""
"37","4809","101","1","NULL","2018-09-28 23:59:33","50",""
"38","18","101","1","NULL","2018-09-30 11:05:21","50",""
"39","18","102","1","NULL","2018-10-10 15:23:29","50",""
"40","4826","101","1","NULL","2018-10-10 11:01:56","50",""
"41","4844","101","1","NULL","2018-10-10 17:35:31","50",""
"42","4826","102","1","NULL","2018-10-11 13:10:15","20","The main goal of this project is task 2.2, which you missed. "
"43","4814","102","1","NULL","2018-10-11 18:45:14","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"44","4844","102","1","NULL","2018-10-11 22:29:14","40","You should use FORWARD instead of  INPUT and OUTPUT chain, not sure how it worked, did you have another FORWARD rule?"
"45","2964","102","1","NULL","2018-10-12 11:28:29","35","You should use FORWARD instead of  INPUT and OUTPUT chain, not sure how it worked, did you have another FORWARD rule? Also, your PREROUTING rule is to board and not secure, need to specific port number"
"46","4774","102","1","NULL","2018-10-12 12:04:24","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"47","4811","102","1","NULL","2018-10-12 13:06:34","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"48","4822","102","1","NULL","2018-10-12 13:06:45","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"49","3856","102","1","NULL","2018-10-12 14:22:29","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"50","4842","102","1","NULL","2018-10-12 15:03:27","50",""
"51","4821","102","1","NULL","2018-10-12 15:41:21","45","DNS part should also use nat table and Forward"
"52","4807","102","1","NULL","2018-10-12 16:56:46","25","You need to use both FORWARD and nat table for task 2.3 to task 2.5. DNS zone file also missing a list of domains, please check Prof's solution."
"53","4818","102","1","NULL","2018-10-12 23:50:17","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"54","4784","102","1","NULL","2018-10-12 23:53:30","45","There are some useless FORWARD Chain rules."
"55","4782","102","1","NULL","2018-10-12 23:53:39","45","Forward Chain rule to general, allowed any traffic. Same for POSTROUTING chain, MASQUERADE is too wide."
"56","4785","102","1","NULL","2018-10-12 23:53:42","45","Forward Chain rule to general, allowed any traffic. Same for POSTROUTING chain, MASQUERADE is too wide."
"57","4798","102","1","NULL","2018-10-12 23:56:39","35","Missing Prerouting rules, which is the main reason other parts not working."
"58","4828","102","1","NULL","2018-10-12 23:58:15","20","Should use Forward and NAT instead of INPUT and OUTPUT."
"59","4783","102","1","NULL","2018-10-12 23:59:02","30","Rules too general, should specific ports."
"60","4800","102","1","NULL","2018-10-12 23:59:10","20","Should use Forward and NAT rules."
"61","4825","102","1","NULL","2018-10-12 23:59:22","50",""
"62","4809","102","1","NULL","2018-10-12 23:59:28","50",""
"63","4843","102","1","NULL","2018-10-12 23:59:33","50",""
"64","4801","102","1","NULL","2018-10-12 23:59:50","20","For task 2.2, you should use nat SNAT and DNAT, which is main goal of this task"
"65","4817","102","1","NULL","2018-10-12 23:59:53","25","Only DNS part finished."
"66","4824","102","1","NULL","2018-10-13 00:00:11","50",""
"67","4787","102","1","NULL","2018-10-13 00:01:11","50",""
"68","4794","102","1","NULL","2018-10-13 00:54:26","50",""
"69","4789","102","1","NULL","2018-10-13 01:28:44","50",""
"70","4803","102","1","NULL","2018-10-13 01:35:46","60",""
"71","4791","102","1","NULL","2018-10-13 01:36:45","25","You'll PREROUTING and FORWARD  rules to make it work"
"72","4262","102","1","NULL","2018-10-13 03:04:07","50",""
"73","4695","102","1","NULL","2018-10-13 13:11:18","50",""
"74","4833","102","1","NULL","2018-10-13 13:15:58","50",""
